Temp , Ave_magnetization , Ave_magnetization^2 , Susceptibility
4.0,2.3520000000020324e-05,0.00022080802133333133,5.520186703573283e-05
3.99,0.026594559999999944,0.0011439476906666157,0.00010944287445439064
3.98,0.0012976000000000161,0.0005386479786666381,0.00013491563138357738
3.97,0.03962160000000005,0.0018474903893334834,6.992927022002007e-05
3.96,0.017003840000000287,0.0010334785706666298,0.00018796666563662123
3.95,0.07957840000000023,0.00669928149333379,9.279993589208954e-05
3.94,0.016992160000000183,0.000686310997333326,0.00010090799387505578
3.93,0.0507497600000003,0.003642164224000003,0.0002714061282296112
3.92,0.01833850666666718,0.0005886040746666309,6.436307344470262e-05
3.91,0.001984906666666632,0.0007139781120000141,0.00018159546228251573
3.9,0.025791839999999986,0.0016448731306667134,0.0002511933641233627
3.89,0.021329386666666846,0.001294516650666659,0.00021582876994613714
3.88,0.010675253333333155,0.0004955438933333249,9.834609783569184e-05
3.87,0.03886288000000072,0.0019914938026667026,0.00012433342655613613
3.86,0.004367573333333137,0.0008239740586666578,0.00020852289166958942
3.85,0.004774719999999951,0.0003014102186666499,7.23668227501949e-05
3.84,0.01421711999999993,0.001134697045333329,0.0002428569125622216
3.83,0.023141599999999662,0.0010215760213333354,0.0001269040132567496
3.82,0.001201759999999988,0.0005978764799999797,0.000156134097618424
3.81,0.0010347200000003472,0.000732942933333292,0.0001920924640039085
3.8,0.06171759999999949,0.004674693205333941,0.00022779764620368528
3.79,0.023113066666666397,0.0008363201706666802,7.97114300603997e-05
3.78,0.002276906666666957,0.0012301605546667152,0.00032406779118994785
3.77,0.021413920000000395,0.0013941799253333544,0.0002481761155349967
3.76,0.041527946666666815,0.002281632085333359,0.0001481547156871903
3.75,0.010365440000000168,0.00043829367466662267,8.822702087280512e-05
3.74,0.024285280000000433,0.0007845031253333,5.206639054943287e-05
3.73,0.06279455999999983,0.004392743594666656,0.00012053266194988677
3.72,0.00320053333333329,0.0003034513919999855,7.881934902747526e-05
3.71,0.050373333333333256,0.002841367125333442,8.191224103027993e-05
3.7,0.0016698133333330645,0.0008635645440000478,0.00023264223444104617
3.69,0.00022112000000002236,0.0010336465919999554,0.0002801077772210177
3.68,0.021410293333334274,0.0014442910720000146,0.0002679050030925534
3.67,0.03307296000000003,0.002426523818666603,0.0003631343693474117
3.66,0.031920053333333004,0.0017631809706667326,0.00020335824203931944
3.65,0.029858506666665965,0.001343889920000054,0.0001239341094895118
3.64,0.03579631999999961,0.0016177530880000196,9.241114353232073e-05
3.63,0.0005868800000000342,0.00020884701866666033,5.7438730174176386e-05
3.62,0.02717850666666668,0.0013372247893333287,0.0001653462885920673
3.61,0.0038306133333333146,0.00044966579199998683,0.00012049645249043654
3.6,0.0024169600000000136,0.000335764053333306,9.16450993588072e-05
3.59,0.008642399999999977,0.0003948901546666024,8.919194342802306e-05
3.58,0.0689594133333326,0.0048775330133336466,3.4115174876043904e-05
3.57,0.05793744000000018,0.004084087637333495,0.00020373688615682746
3.56,0.06018511999999949,0.004378971136000139,0.0002125624906139889
3.55,0.05362245333333293,0.004052888917333496,0.00033169617347831773
3.54,0.006944693333333359,0.00020042811733332678,4.299416718623785e-05
3.53,0.05863189333333381,0.003771702783999955,9.461865953215898e-05
3.52,0.01209626666666677,0.0004241885866666239,7.894003391917906e-05
3.51,0.018975839999999817,0.0010746408106666796,0.0002035778652310788
3.5,0.045254239999999335,0.002505042432000026,0.00013059891257785318
3.49,0.06125808000000004,0.004445720405333473,0.00019861548425417414
3.48,0.03291658666666654,0.0014016414720000078,9.141948109650526e-05
3.47,0.025690346666666794,0.0011335594666666597,0.00013647422328908992
3.46,0.03211925333333366,0.0013781511680000568,0.00010014587667895707
3.45,0.0067580266666667065,0.001367257685333351,0.00038306862634955737
3.44,0.002452586666666795,0.0009565527039999603,0.00027631904727978157
3.43,0.037966506666667066,0.001962519125333393,0.00015191355593682752
3.42,0.004403413333333341,0.0002781983573333274,7.567494396173962e-05
3.41,0.018297653333333323,0.0011080259413333304,0.0002267512679843068
3.4,0.036347039999999,0.0017196509866667267,0.00011721872644270576
3.39,0.0019981333333333345,0.0002091945813333278,6.0531576553259596e-05
3.38,0.007786453333333129,0.0007591325866666483,0.00020665790862558394
3.37,0.004387306666666638,0.0005563059199999682,0.0001593642315170892
3.36,0.00877535999999979,0.0003066171733333252,6.833637803682407e-05
3.35,0.01786079999999972,0.0007634169173333424,0.0001326593255801052
3.34,0.10320186666666616,0.010897050879999435,7.378011871709455e-05
3.33,0.00789967999999994,0.00026229922133333357,6.0028311480761114e-05
3.32,0.007860159999999838,0.0010426929493333032,0.0002954550705143692
3.31,0.08008463999999908,0.0066627914240004645,7.529965561057754e-05
3.3,0.07558901333333345,0.006413663232000257,0.00021211039251314967
3.29,0.03684805333333354,0.0016037845333333924,7.477370786541015e-05
3.28,0.01902256000000041,0.0012877400746666772,0.00028228118466861634
3.27,0.05678154666666651,0.004181711701333399,0.0002928341466283095
3.26,0.033517013333333005,0.0014907314346667348,0.00011268136560733507
3.25,0.000355093333333292,0.0003486049279999813,0.00010722425745372418
3.24,0.011375839999999927,0.0008146108586666184,0.0002114818280743889
3.23,0.08779562666666516,0.00784224477866665,4.1539540827927e-05
3.22,0.016661706666666904,0.0005168727893333132,7.430444729418036e-05
3.21,0.0020347733333333146,0.00029592260266663893,9.08979128188768e-05
3.2,0.049608213333333775,0.0031623061333334664,0.0002191660322524723
3.19,0.05447973333333176,0.0032453789013335128,8.693967312306372e-05
3.18,0.00972197333333342,0.00042331323733331915,0.000103395116930589
3.17,0.029543466666666695,0.00144650956799999,0.00018097575562004537
3.16,0.06536575999999952,0.004657360469333585,0.00012173350916330618
3.15,0.04690677333333417,0.0025152186026666796,9.9991497816473e-05
3.14,0.05229744000000085,0.0029531157333334028,6.945652954767964e-05
3.13,0.025830133333333026,0.0011622387199999786,0.00015816068114447816
3.12,0.03679754666666685,0.0017879414613333705,0.00013906475020764296
3.11,0.016134986666666754,0.0005624041813333255,9.712745549833169e-05
3.1,0.10734303999999917,0.012503916288001106,0.00031657679082570483
3.09,0.05770405333333344,0.003743745109333437,0.00013397648486642287
3.08,0.024686346666666914,0.0010475374079999807,0.000142247303978287
3.07,0.026785013333333187,0.000953989546666651,7.705296657974411e-05
3.06,0.01413807999999962,0.000628833621333344,0.0001401791879892009
3.05,0.02424154666666658,0.001105394858666709,0.00016975156520476574
3.04,0.0352536533333334,0.0016951665493333,0.00014879818289028
3.03,0.06933104000000032,0.0062670530559998,0.00048193397640863253
3.02,0.012387520000000119,0.000633311573333323,0.00015889434489500665
3.01,0.011029653333333524,0.0007338496853333563,0.0002033875191627379
3.0,0.0013221333333331977,0.0007559586133333156,0.00025140352559406825
